method,held_out,k,n_calib,n_eval,acc
source,1,0,0,160,0.65
finetune,1,0,0,160,0.65
lora,1,0,0,160,0.65
convex,1,0,0,160,0.65
source,1,1,4,160,0.65
finetune,1,1,4,160,0.7125
lora,1,1,4,160,0.6875
convex,1,1,4,160,0.4625
source,1,2,8,160,0.65
finetune,1,2,8,160,0.70625
lora,1,2,8,160,0.70625
convex,1,2,8,160,0.5125
source,1,5,20,160,0.65
finetune,1,5,20,160,0.75625
lora,1,5,20,160,0.7375
convex,1,5,20,160,0.49375
source,1,10,40,160,0.65
finetune,1,10,40,160,0.64375
lora,1,10,40,160,0.55625
convex,1,10,40,160,0.54375
source,1,20,80,160,0.65
finetune,1,20,80,160,0.725
lora,1,20,80,160,0.59375
convex,1,20,80,160,0.54375
source,1,30,120,160,0.65
finetune,1,30,120,160,0.35625
lora,1,30,120,160,0.31875
convex,1,30,120,160,0.55
source,2,0,0,160,0.3125
finetune,2,0,0,160,0.3125
lora,2,0,0,160,0.3125
convex,2,0,0,160,0.3125
source,2,1,4,160,0.3125
finetune,2,1,4,160,0.34375
lora,2,1,4,160,0.35
convex,2,1,4,160,0.2875
source,2,2,8,160,0.3125
finetune,2,2,8,160,0.3375
lora,2,2,8,160,0.28125
convex,2,2,8,160,0.26875
source,2,5,20,160,0.3125
finetune,2,5,20,160,0.375
lora,2,5,20,160,0.35
convex,2,5,20,160,0.3
source,2,10,40,160,0.3125
finetune,2,10,40,160,0.3875
lora,2,10,40,160,0.3625
convex,2,10,40,160,0.35
source,2,20,80,160,0.3125
finetune,2,20,80,160,0.3875
lora,2,20,80,160,0.375
convex,2,20,80,160,0.26875
source,2,30,120,160,0.3125
finetune,2,30,120,160,0.4
lora,2,30,120,160,0.29375
convex,2,30,120,160,0.31875
source,3,0,0,160,0.65625
finetune,3,0,0,160,0.65625
lora,3,0,0,160,0.65625
convex,3,0,0,160,0.65625
source,3,1,4,160,0.65625
finetune,3,1,4,160,0.7375
lora,3,1,4,160,0.6625
convex,3,1,4,160,0.48125
source,3,2,8,160,0.65625
finetune,3,2,8,160,0.775
lora,3,2,8,160,0.75625
convex,3,2,8,160,0.6375
source,3,5,20,160,0.65625
finetune,3,5,20,160,0.78125
lora,3,5,20,160,0.84375
convex,3,5,20,160,0.675
source,3,10,40,160,0.65625
finetune,3,10,40,160,0.825
lora,3,10,40,160,0.83125
convex,3,10,40,160,0.6875
source,3,20,80,160,0.65625
finetune,3,20,80,160,0.875
lora,3,20,80,160,0.85625
convex,3,20,80,160,0.68125
source,3,30,120,160,0.65625
finetune,3,30,120,160,0.9
lora,3,30,120,160,0.675
convex,3,30,120,160,0.6875
source,4,0,0,160,0.41875
finetune,4,0,0,160,0.41875
lora,4,0,0,160,0.41875
convex,4,0,0,160,0.41875
source,4,1,4,160,0.41875
finetune,4,1,4,160,0.4
lora,4,1,4,160,0.40625
convex,4,1,4,160,0.2625
source,4,2,8,160,0.41875
finetune,4,2,8,160,0.43125
lora,4,2,8,160,0.41875
convex,4,2,8,160,0.34375
source,4,5,20,160,0.41875
finetune,4,5,20,160,0.46875
lora,4,5,20,160,0.45
convex,4,5,20,160,0.3125
source,4,10,40,160,0.41875
finetune,4,10,40,160,0.56875
lora,4,10,40,160,0.55
convex,4,10,40,160,0.35
source,4,20,80,160,0.41875
finetune,4,20,80,160,0.5375
lora,4,20,80,160,0.5625
convex,4,20,80,160,0.46875
source,4,30,120,160,0.41875
finetune,4,30,120,160,0.55
lora,4,30,120,160,0.4375
convex,4,30,120,160,0.38125
source,5,0,0,160,0.3125
finetune,5,0,0,160,0.3125
lora,5,0,0,160,0.3125
convex,5,0,0,160,0.3125
source,5,1,4,160,0.3125
finetune,5,1,4,160,0.2875
lora,5,1,4,160,0.2875
convex,5,1,4,160,0.19375
source,5,2,8,160,0.3125
finetune,5,2,8,160,0.28125
lora,5,2,8,160,0.2375
convex,5,2,8,160,0.25625
source,5,5,20,160,0.3125
finetune,5,5,20,160,0.28125
lora,5,5,20,160,0.29375
convex,5,5,20,160,0.21875
source,5,10,40,160,0.3125
finetune,5,10,40,160,0.28125
lora,5,10,40,160,0.29375
convex,5,10,40,160,0.2875
source,5,20,80,160,0.3125
finetune,5,20,80,160,0.25
lora,5,20,80,160,0.26875
convex,5,20,80,160,0.28125
source,5,30,120,160,0.3125
finetune,5,30,120,160,0.25625
lora,5,30,120,160,0.25
convex,5,30,120,160,0.325
source,6,0,0,160,0.375
finetune,6,0,0,160,0.375
lora,6,0,0,160,0.375
convex,6,0,0,160,0.375
source,6,1,4,160,0.375
finetune,6,1,4,160,0.45625
lora,6,1,4,160,0.38125
convex,6,1,4,160,0.19375
source,6,2,8,160,0.375
finetune,6,2,8,160,0.45625
lora,6,2,8,160,0.4875
convex,6,2,8,160,0.30625
source,6,5,20,160,0.375
finetune,6,5,20,160,0.44375
lora,6,5,20,160,0.38125
convex,6,5,20,160,0.34375
source,6,10,40,160,0.375
finetune,6,10,40,160,0.5
lora,6,10,40,160,0.44375
convex,6,10,40,160,0.425
source,6,20,80,160,0.375
finetune,6,20,80,160,0.49375
lora,6,20,80,160,0.4875
convex,6,20,80,160,0.4375
source,6,30,120,160,0.375
finetune,6,30,120,160,0.50625
lora,6,30,120,160,0.49375
convex,6,30,120,160,0.45
source,7,0,0,160,0.34375
finetune,7,0,0,160,0.34375
lora,7,0,0,160,0.34375
convex,7,0,0,160,0.34375
source,7,1,4,160,0.34375
finetune,7,1,4,160,0.4125
lora,7,1,4,160,0.4125
convex,7,1,4,160,0.2375
source,7,2,8,160,0.34375
finetune,7,2,8,160,0.45
lora,7,2,8,160,0.45625
convex,7,2,8,160,0.31875
source,7,5,20,160,0.34375
finetune,7,5,20,160,0.48125
lora,7,5,20,160,0.4625
convex,7,5,20,160,0.2875
source,7,10,40,160,0.34375
finetune,7,10,40,160,0.40625
lora,7,10,40,160,0.3875
convex,7,10,40,160,0.34375
source,7,20,80,160,0.34375
finetune,7,20,80,160,0.43125
lora,7,20,80,160,0.45625
convex,7,20,80,160,0.36875
source,7,30,120,160,0.34375
finetune,7,30,120,160,0.375
lora,7,30,120,160,0.325
convex,7,30,120,160,0.43125
source,8,0,0,160,0.56875
finetune,8,0,0,160,0.56875
lora,8,0,0,160,0.56875
convex,8,0,0,160,0.56875
source,8,1,4,160,0.56875
finetune,8,1,4,160,0.5
lora,8,1,4,160,0.5375
convex,8,1,4,160,0.35
source,8,2,8,160,0.56875
finetune,8,2,8,160,0.56875
lora,8,2,8,160,0.51875
convex,8,2,8,160,0.3125
source,8,5,20,160,0.56875
finetune,8,5,20,160,0.58125
lora,8,5,20,160,0.56875
convex,8,5,20,160,0.3125
source,8,10,40,160,0.56875
finetune,8,10,40,160,0.40625
lora,8,10,40,160,0.51875
convex,8,10,40,160,0.4875
source,8,20,80,160,0.56875
finetune,8,20,80,160,0.49375
lora,8,20,80,160,0.55
convex,8,20,80,160,0.40625
source,8,30,120,160,0.56875
finetune,8,30,120,160,0.3375
lora,8,30,120,160,0.45
convex,8,30,120,160,0.40625
source,9,0,0,160,0.575
finetune,9,0,0,160,0.575
lora,9,0,0,160,0.575
convex,9,0,0,160,0.575
source,9,1,4,160,0.575
finetune,9,1,4,160,0.66875
lora,9,1,4,160,0.6375
convex,9,1,4,160,0.38125
source,9,2,8,160,0.575
finetune,9,2,8,160,0.625
lora,9,2,8,160,0.60625
convex,9,2,8,160,0.48125
source,9,5,20,160,0.575
finetune,9,5,20,160,0.61875
lora,9,5,20,160,0.61875
convex,9,5,20,160,0.46875
source,9,10,40,160,0.575
finetune,9,10,40,160,0.58125
lora,9,10,40,160,0.49375
convex,9,10,40,160,0.525
source,9,20,80,160,0.575
finetune,9,20,80,160,0.60625
lora,9,20,80,160,0.6
convex,9,20,80,160,0.53125
source,9,30,120,160,0.575
finetune,9,30,120,160,0.275
lora,9,30,120,160,0.40625
convex,9,30,120,160,0.56875
