head,held_out,k,n_calib,n_eval,acc,tag
convex,1,0,0,160,0.675,src(K=0)
convex,1,1,4,160,0.6875,"anchored,r=620"
convex,1,2,8,160,0.6625,"anchored,r=310"
convex,1,5,20,160,0.66875,"anchored,r=124"
convex,1,10,40,160,0.68125,"anchored,r=62"
convex,1,20,80,160,0.675,"anchored,r=31"
convex,1,30,120,160,0.725,"anchored,r=21"
convex,2,0,0,160,0.30625,src(K=0)
convex,2,1,4,160,0.33125,"anchored,r=620"
convex,2,2,8,160,0.31875,"anchored,r=310"
convex,2,5,20,160,0.36875,"anchored,r=124"
convex,2,10,40,160,0.3125,"anchored,r=62"
convex,2,20,80,160,0.31875,"anchored,r=31"
convex,2,30,120,160,0.375,"anchored,r=21"
convex,3,0,0,160,0.7375,src(K=0)
convex,3,1,4,160,0.73125,"anchored,r=620"
convex,3,2,8,160,0.71875,"anchored,r=310"
convex,3,5,20,160,0.725,"anchored,r=124"
convex,3,10,40,160,0.7375,"anchored,r=62"
convex,3,20,80,160,0.78125,"anchored,r=31"
convex,3,30,120,160,0.7625,"anchored,r=21"
convex,4,0,0,160,0.38125,src(K=0)
convex,4,1,4,160,0.38125,"anchored,r=620"
convex,4,2,8,160,0.4125,"anchored,r=310"
convex,4,5,20,160,0.4,"anchored,r=124"
convex,4,10,40,160,0.41875,"anchored,r=62"
convex,4,20,80,160,0.41875,"anchored,r=31"
convex,4,30,120,160,0.3875,"anchored,r=21"
convex,5,0,0,160,0.33125,src(K=0)
convex,5,1,4,160,0.3375,"anchored,r=620"
convex,5,2,8,160,0.34375,"anchored,r=310"
convex,5,5,20,160,0.35625,"anchored,r=124"
convex,5,10,40,160,0.38125,"anchored,r=62"
convex,5,20,80,160,0.38125,"anchored,r=31"
convex,5,30,120,160,0.36875,"anchored,r=21"
convex,6,0,0,160,0.35,src(K=0)
convex,6,1,4,160,0.34375,"anchored,r=620"
convex,6,2,8,160,0.35625,"anchored,r=310"
convex,6,5,20,160,0.40625,"anchored,r=124"
convex,6,10,40,160,0.35625,"anchored,r=62"
convex,6,20,80,160,0.375,"anchored,r=31"
convex,6,30,120,160,0.375,"anchored,r=21"
convex,7,0,0,160,0.43125,src(K=0)
convex,7,1,4,160,0.45,"anchored,r=620"
convex,7,2,8,160,0.45,"anchored,r=310"
convex,7,5,20,160,0.5375,"anchored,r=124"
convex,7,10,40,160,0.55625,"anchored,r=62"
convex,7,20,80,160,0.6,"anchored,r=31"
convex,7,30,120,160,0.5875,"anchored,r=21"
convex,8,0,0,160,0.51875,src(K=0)
convex,8,1,4,160,0.53125,"anchored,r=620"
convex,8,2,8,160,0.58125,"anchored,r=310"
convex,8,5,20,160,0.575,"anchored,r=124"
convex,8,10,40,160,0.58125,"anchored,r=62"
convex,8,20,80,160,0.6625,"anchored,r=31"
convex,8,30,120,160,0.65625,"anchored,r=21"
convex,9,0,0,160,0.48125,src(K=0)
convex,9,1,4,160,0.5125,"anchored,r=620"
convex,9,2,8,160,0.53125,"anchored,r=310"
convex,9,5,20,160,0.4875,"anchored,r=124"
convex,9,10,40,160,0.50625,"anchored,r=62"
convex,9,20,80,160,0.475,"anchored,r=31"
convex,9,30,120,160,0.54375,"anchored,r=21"
