head,held_out,k,n_calib,n_eval,acc,tag
linear,1,0,0,160,0.6375,src(K=0)
linear,1,1,4,160,0.7,"anchored,m=0.35"
linear,1,2,8,160,0.7,"anchored,m=0.35"
linear,1,5,20,160,0.7375,"anchored,m=0.35"
linear,1,10,40,160,0.75,"anchored,m=0.35"
linear,1,20,80,160,0.775,"anchored,m=0.35"
linear,1,30,120,160,0.7625,"anchored,m=0.35"
linear,2,0,0,160,0.34375,src(K=0)
linear,2,1,4,160,0.3375,"anchored,m=0.35"
linear,2,2,8,160,0.4,"anchored,m=0.35"
linear,2,5,20,160,0.39375,"anchored,m=0.35"
linear,2,10,40,160,0.3875,"anchored,m=0.35"
linear,2,20,80,160,0.3875,"anchored,m=0.35"
linear,2,30,120,160,0.41875,"anchored,m=0.35"
linear,3,0,0,160,0.75,src(K=0)
linear,3,1,4,160,0.69375,"anchored,m=0.35"
linear,3,2,8,160,0.74375,"anchored,m=0.35"
linear,3,5,20,160,0.78125,"anchored,m=0.35"
linear,3,10,40,160,0.8,"anchored,m=0.35"
linear,3,20,80,160,0.78125,"anchored,m=0.35"
linear,3,30,120,160,0.7875,"anchored,m=0.35"
linear,4,0,0,160,0.40625,src(K=0)
linear,4,1,4,160,0.4,"anchored,m=0.35"
linear,4,2,8,160,0.425,"anchored,m=0.35"
linear,4,5,20,160,0.41875,"anchored,m=0.35"
linear,4,10,40,160,0.48125,"anchored,m=0.35"
linear,4,20,80,160,0.44375,"anchored,m=0.35"
linear,4,30,120,160,0.4375,"anchored,m=0.35"
linear,5,0,0,160,0.375,src(K=0)
linear,5,1,4,160,0.28125,"anchored,m=0.35"
linear,5,2,8,160,0.29375,"anchored,m=0.35"
linear,5,5,20,160,0.2625,"anchored,m=0.35"
linear,5,10,40,160,0.36875,"anchored,m=0.35"
linear,5,20,80,160,0.4,"anchored,m=0.35"
linear,5,30,120,160,0.40625,"anchored,m=0.35"
linear,6,0,0,160,0.33125,src(K=0)
linear,6,1,4,160,0.38125,"anchored,m=0.35"
linear,6,2,8,160,0.3625,"anchored,m=0.35"
linear,6,5,20,160,0.425,"anchored,m=0.35"
linear,6,10,40,160,0.39375,"anchored,m=0.35"
linear,6,20,80,160,0.425,"anchored,m=0.35"
linear,6,30,120,160,0.39375,"anchored,m=0.35"
linear,7,0,0,160,0.4375,src(K=0)
linear,7,1,4,160,0.48125,"anchored,m=0.35"
linear,7,2,8,160,0.50625,"anchored,m=0.35"
linear,7,5,20,160,0.58125,"anchored,m=0.35"
linear,7,10,40,160,0.5875,"anchored,m=0.35"
linear,7,20,80,160,0.5375,"anchored,m=0.35"
linear,7,30,120,160,0.55625,"anchored,m=0.35"
linear,8,0,0,160,0.56875,src(K=0)
linear,8,1,4,160,0.5625,"anchored,m=0.35"
linear,8,2,8,160,0.5875,"anchored,m=0.35"
linear,8,5,20,160,0.64375,"anchored,m=0.35"
linear,8,10,40,160,0.6375,"anchored,m=0.35"
linear,8,20,80,160,0.6,"anchored,m=0.35"
linear,8,30,120,160,0.58125,"anchored,m=0.35"
linear,9,0,0,160,0.5125,src(K=0)
linear,9,1,4,160,0.625,"anchored,m=0.35"
linear,9,2,8,160,0.56875,"anchored,m=0.35"
linear,9,5,20,160,0.5875,"anchored,m=0.35"
linear,9,10,40,160,0.6375,"anchored,m=0.35"
linear,9,20,80,160,0.60625,"anchored,m=0.35"
linear,9,30,120,160,0.63125,"anchored,m=0.35"
