head,held_out,k,n_calib,n_eval,acc,tag
convex,2,0,0,44,0.75,src(K=0)
convex,2,1,4,44,0.75,"anchored,r=1163"
convex,2,2,8,44,0.75,"anchored,r=582"
convex,2,5,20,44,0.75,"anchored,r=233"
convex,2,10,40,44,0.7727272727272727,"anchored,r=116"
convex,5,0,0,44,0.5454545454545454,src(K=0)
convex,5,1,4,44,0.4772727272727273,"anchored,r=1163"
convex,5,2,8,44,0.4772727272727273,"anchored,r=582"
convex,5,5,20,44,0.5227272727272727,"anchored,r=233"
convex,5,10,40,44,0.5227272727272727,"anchored,r=116"
convex,8,0,0,44,0.7954545454545454,src(K=0)
convex,8,1,4,44,0.7954545454545454,"anchored,r=1163"
convex,8,2,8,44,0.7727272727272727,"anchored,r=582"
convex,8,5,20,44,0.7954545454545454,"anchored,r=233"
convex,8,10,40,44,0.8181818181818182,"anchored,r=116"
convex,27,0,0,44,0.5909090909090909,src(K=0)
convex,27,1,4,44,0.5454545454545454,"anchored,r=1163"
convex,27,2,8,44,0.5454545454545454,"anchored,r=582"
convex,27,5,20,44,0.5227272727272727,"anchored,r=233"
convex,27,10,40,44,0.5227272727272727,"anchored,r=116"
convex,32,0,0,44,0.6818181818181818,src(K=0)
convex,32,1,4,44,0.6818181818181818,"anchored,r=1163"
convex,32,2,8,44,0.6363636363636364,"anchored,r=582"
convex,32,5,20,44,0.6590909090909091,"anchored,r=233"
convex,32,10,40,44,0.75,"anchored,r=116"
convex,51,0,0,44,0.5909090909090909,src(K=0)
convex,51,1,4,44,0.5227272727272727,"anchored,r=1163"
convex,51,2,8,44,0.5227272727272727,"anchored,r=582"
convex,51,5,20,44,0.5909090909090909,"anchored,r=233"
convex,51,10,40,44,0.5454545454545454,"anchored,r=116"
convex,63,0,0,44,0.5454545454545454,src(K=0)
convex,63,1,4,44,0.5227272727272727,"anchored,r=1163"
convex,63,2,8,44,0.5227272727272727,"anchored,r=582"
convex,63,5,20,44,0.5909090909090909,"anchored,r=233"
convex,63,10,40,44,0.5454545454545454,"anchored,r=116"
convex,83,0,0,44,0.6818181818181818,src(K=0)
convex,83,1,4,44,0.6363636363636364,"anchored,r=1163"
convex,83,2,8,44,0.6818181818181818,"anchored,r=582"
convex,83,5,20,44,0.6818181818181818,"anchored,r=233"
convex,83,10,40,44,0.6363636363636364,"anchored,r=116"
