head,held_out,k,n_calib,n_eval,acc,tag
linear,2,0,0,44,0.75,src(K=0)
linear,2,1,4,44,0.7045454545454546,"anchored,m=0.35"
linear,2,2,8,44,0.75,"anchored,m=0.35"
linear,2,5,20,44,0.75,"anchored,m=0.35"
linear,2,10,40,44,0.75,"anchored,m=0.35"
linear,5,0,0,44,0.4318181818181818,src(K=0)
linear,5,1,4,44,0.5909090909090909,"anchored,m=0.35"
linear,5,2,8,44,0.5681818181818182,"anchored,m=0.35"
linear,5,5,20,44,0.5681818181818182,"anchored,m=0.35"
linear,5,10,40,44,0.4772727272727273,"anchored,m=0.35"
linear,8,0,0,44,0.75,src(K=0)
linear,8,1,4,44,0.6590909090909091,"anchored,m=0.35"
linear,8,2,8,44,0.7272727272727273,"anchored,m=0.35"
linear,8,5,20,44,0.8181818181818182,"anchored,m=0.35"
linear,8,10,40,44,0.7727272727272727,"anchored,m=0.35"
linear,27,0,0,44,0.5909090909090909,src(K=0)
linear,27,1,4,44,0.5454545454545454,"anchored,m=0.35"
linear,27,2,8,44,0.5227272727272727,"anchored,m=0.35"
linear,27,5,20,44,0.5,"anchored,m=0.35"
linear,27,10,40,44,0.5454545454545454,"anchored,m=0.35"
linear,32,0,0,44,0.6818181818181818,src(K=0)
linear,32,1,4,44,0.6818181818181818,"anchored,m=0.35"
linear,32,2,8,44,0.7045454545454546,"anchored,m=0.35"
linear,32,5,20,44,0.6363636363636364,"anchored,m=0.35"
linear,32,10,40,44,0.6590909090909091,"anchored,m=0.35"
linear,51,0,0,44,0.5909090909090909,src(K=0)
linear,51,1,4,44,0.4318181818181818,"anchored,m=0.35"
linear,51,2,8,44,0.4090909090909091,"anchored,m=0.35"
linear,51,5,20,44,0.5454545454545454,"anchored,m=0.35"
linear,51,10,40,44,0.5454545454545454,"anchored,m=0.35"
linear,63,0,0,44,0.5909090909090909,src(K=0)
linear,63,1,4,44,0.5681818181818182,"anchored,m=0.35"
linear,63,2,8,44,0.6136363636363636,"anchored,m=0.35"
linear,63,5,20,44,0.6590909090909091,"anchored,m=0.35"
linear,63,10,40,44,0.6363636363636364,"anchored,m=0.35"
linear,83,0,0,44,0.6136363636363636,src(K=0)
linear,83,1,4,44,0.5227272727272727,"anchored,m=0.35"
linear,83,2,8,44,0.5227272727272727,"anchored,m=0.35"
linear,83,5,20,44,0.5681818181818182,"anchored,m=0.35"
linear,83,10,40,44,0.6818181818181818,"anchored,m=0.35"
