head,held_out,k,n_calib,n_eval,acc
linear,1,0,0,160,0.31875
linear,1,1,4,160,0.3
linear,1,2,8,160,0.26875
linear,1,5,20,160,0.28125
linear,1,10,40,160,0.31875
linear,1,20,80,160,0.3375
linear,1,30,120,160,0.34375
linear,2,0,0,160,0.25
linear,2,1,4,160,0.2375
linear,2,2,8,160,0.25625
linear,2,5,20,160,0.1875
linear,2,10,40,160,0.175
linear,2,20,80,160,0.2125
linear,2,30,120,160,0.225
linear,3,0,0,160,0.36875
linear,3,1,4,160,0.30625
linear,3,2,8,160,0.33125
linear,3,5,20,160,0.3625
linear,3,10,40,160,0.34375
linear,3,20,80,160,0.36875
linear,3,30,120,160,0.34375
linear,4,0,0,160,0.3625
linear,4,1,4,160,0.2125
linear,4,2,8,160,0.2375
linear,4,5,20,160,0.3375
linear,4,10,40,160,0.39375
linear,4,20,80,160,0.41875
linear,4,30,120,160,0.41875
linear,5,0,0,160,0.30625
linear,5,1,4,160,0.25
linear,5,2,8,160,0.23125
linear,5,5,20,160,0.20625
linear,5,10,40,160,0.2375
linear,5,20,80,160,0.29375
linear,5,30,120,160,0.30625
linear,6,0,0,160,0.325
linear,6,1,4,160,0.275
linear,6,2,8,160,0.2875
linear,6,5,20,160,0.3
linear,6,10,40,160,0.26875
linear,6,20,80,160,0.25
linear,6,30,120,160,0.25625
linear,7,0,0,160,0.3375
linear,7,1,4,160,0.275
linear,7,2,8,160,0.2625
linear,7,5,20,160,0.29375
linear,7,10,40,160,0.3
linear,7,20,80,160,0.3125
linear,7,30,120,160,0.30625
linear,8,0,0,160,0.375
linear,8,1,4,160,0.33125
linear,8,2,8,160,0.31875
linear,8,5,20,160,0.475
linear,8,10,40,160,0.50625
linear,8,20,80,160,0.44375
linear,8,30,120,160,0.4125
linear,9,0,0,160,0.44375
linear,9,1,4,160,0.39375
linear,9,2,8,160,0.4
linear,9,5,20,160,0.41875
linear,9,10,40,160,0.4125
linear,9,20,80,160,0.43125
linear,9,30,120,160,0.41875
