head,held_out,k,n_calib,n_eval,acc
mlp,1,0,0,160,0.3125
mlp,1,1,4,160,0.31875
mlp,1,2,8,160,0.31875
mlp,1,5,20,160,0.2875
mlp,1,10,40,160,0.3375
mlp,1,20,80,160,0.375
mlp,1,30,120,160,0.375
mlp,2,0,0,160,0.26875
mlp,2,1,4,160,0.2375
mlp,2,2,8,160,0.25
mlp,2,5,20,160,0.25625
mlp,2,10,40,160,0.2125
mlp,2,20,80,160,0.26875
mlp,2,30,120,160,0.29375
mlp,3,0,0,160,0.35
mlp,3,1,4,160,0.33125
mlp,3,2,8,160,0.3375
mlp,3,5,20,160,0.35
mlp,3,10,40,160,0.36875
mlp,3,20,80,160,0.425
mlp,3,30,120,160,0.40625
mlp,4,0,0,160,0.3625
mlp,4,1,4,160,0.33125
mlp,4,2,8,160,0.35625
mlp,4,5,20,160,0.31875
mlp,4,10,40,160,0.33125
mlp,4,20,80,160,0.3375
mlp,4,30,120,160,0.375
mlp,5,0,0,160,0.25
mlp,5,1,4,160,0.2875
mlp,5,2,8,160,0.25625
mlp,5,5,20,160,0.2625
mlp,5,10,40,160,0.30625
mlp,5,20,80,160,0.3125
mlp,5,30,120,160,0.3125
mlp,6,0,0,160,0.2375
mlp,6,1,4,160,0.275
mlp,6,2,8,160,0.26875
mlp,6,5,20,160,0.2875
mlp,6,10,40,160,0.275
mlp,6,20,80,160,0.2625
mlp,6,30,120,160,0.3
mlp,7,0,0,160,0.26875
mlp,7,1,4,160,0.30625
mlp,7,2,8,160,0.3125
mlp,7,5,20,160,0.35
mlp,7,10,40,160,0.2875
mlp,7,20,80,160,0.3
mlp,7,30,120,160,0.26875
mlp,8,0,0,160,0.36875
mlp,8,1,4,160,0.4125
mlp,8,2,8,160,0.46875
mlp,8,5,20,160,0.45625
mlp,8,10,40,160,0.525
mlp,8,20,80,160,0.48125
mlp,8,30,120,160,0.48125
mlp,9,0,0,160,0.35
mlp,9,1,4,160,0.3875
mlp,9,2,8,160,0.425
mlp,9,5,20,160,0.4125
mlp,9,10,40,160,0.5125
mlp,9,20,80,160,0.5125
mlp,9,30,120,160,0.45625
