held_out,k,n_calib,n_eval,acc
29,0,0,90,0.4
29,1,4,86,0.4069767441860465
29,2,8,82,0.4268292682926829
29,5,20,70,0.44285714285714284
29,10,40,50,0.46
29,20,80,10,0.3
53,0,0,90,0.35555555555555557
53,1,4,86,0.36046511627906974
53,2,8,82,0.35365853658536583
53,5,20,70,0.32857142857142857
53,10,40,50,0.32
53,20,80,10,0.3
65,0,0,90,0.34444444444444444
65,1,4,86,0.32558139534883723
65,2,8,82,0.32926829268292684
65,5,20,70,0.34285714285714286
65,10,40,50,0.38
65,20,80,10,0.6
86,0,0,90,0.4777777777777778
86,1,4,86,0.47674418604651164
86,2,8,82,0.43902439024390244
86,5,20,70,0.45714285714285713
86,10,40,50,0.5
86,20,80,10,0.7
