held_out,k,n_calib,n_eval,acc
2,0,0,90,0.25555555555555554
2,1,4,86,0.2558139534883721
2,2,8,82,0.25609756097560976
2,5,20,70,0.2571428571428571
2,10,40,50,0.26
2,20,80,10,0.3
5,0,0,90,0.23333333333333334
5,1,4,86,0.23255813953488372
5,2,8,82,0.23170731707317074
5,5,20,70,0.22857142857142856
5,10,40,50,0.22
5,20,80,10,0.1
8,0,0,90,0.24444444444444444
8,1,4,86,0.2441860465116279
8,2,8,82,0.24390243902439024
8,5,20,70,0.24285714285714285
8,10,40,50,0.24
8,20,80,10,0.3
27,0,0,90,0.25555555555555554
27,1,4,86,0.2558139534883721
27,2,8,82,0.25609756097560976
27,5,20,70,0.2571428571428571
27,10,40,50,0.26
27,20,80,10,0.3
32,0,0,90,0.23333333333333334
32,1,4,86,0.23255813953488372
32,2,8,82,0.23170731707317074
32,5,20,70,0.22857142857142856
32,10,40,50,0.22
32,20,80,10,0.3
51,0,0,90,0.26666666666666666
51,1,4,86,0.26744186046511625
51,2,8,82,0.2682926829268293
51,5,20,70,0.2714285714285714
51,10,40,50,0.28
51,20,80,10,0.1
63,0,0,90,0.24444444444444444
63,1,4,86,0.2441860465116279
63,2,8,82,0.24390243902439024
63,5,20,70,0.24285714285714285
63,10,40,50,0.24
63,20,80,10,0.2
83,0,0,90,0.24444444444444444
83,1,4,86,0.2441860465116279
83,2,8,82,0.24390243902439024
83,5,20,70,0.24285714285714285
83,10,40,50,0.24
83,20,80,10,0.2
